Tienda	Código de Artículo		Descripción		Precio		Fecha	Exsitencia Actual		Puede Surtir	Nro.de Dctos.  Puede Surtir	NO Surtir	Nro.de Dctos.  NO Surtir		Existencia Aereo		
006	1437074		TURBO 7"		276,06		10-07-2018	20,00		5,00	1	15,00	1		18,00		
006	1437075		SEGMENTADO 7"		284,56		12-07-2018	20,00		5,00	1	15,00	1		12,00		
006	1437076		CONTINUO 4 1/2"		614,66		15-09-2018	15,00		15,00	1	0,00	0				
006	1437097		CONTINUO  4 1/2		1.234,48		06-09-2018	5,00		5,00	1	0,00	0				
006	1437098		TURBO 4 1/2		1.511,21		06-09-2018	5,00		5,00	1	0,00	0				
006	1439063		LIJADORA BANDA 3X18		2.385,56		13-06-2018	2,00		2,00	1	0,00	0				
006	1439065		ORBITAL 250W		1.378,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1441035		LIJA GRANO 120		16,06		20-07-2018	16,00		16,00	1	0,00	0				
006	1441122		LIJA GRANO 360		20,31		16-08-2018	108,00		8,00	1	100,00	1		100,00		
006	1441125		LIJA GRANO 220		27,98		13-09-2018	144,00		144,00	1	0,00	0		100,00		
006	1441126		LIJA GRANO 240		20,31		18-08-2018	276,00		76,00	1	200,00	1		250,00		
006	1441127		LIJA GRANO 320		20,31		18-08-2018	317,00		117,00	1	200,00	1		300,00		
006	1441128		LIJA GRANO 280		20,31		18-08-2018	131,00		131,00	1	0,00	0		100,00		
006	1441129		LIJA GRANO 100		36,25		06-09-2018	104,00		104,00	1	0,00	0		100,00		
006	1441135		LIJA GRANO 1200		36,25		20-09-2018	145,00		145,00	1	0,00	0		100,00		
006	1441136		LIJA GRANO 1500		36,25		05-09-2018	137,00		137,00	1	0,00	0		100,00		
006	1444069		SIERRA CALADORA 400W		1.493,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1445026		HOJA U 2-3/4" 14TPI		66,93		14-07-2018	5,00		5,00	1	0,00	0				
006	1445027		HOJA U 2-3/4" 24TPI		66,93		14-07-2018	2,00		2,00	1	0,00	0				
006	1445068		HOJA CALADORA 2 3/4"		64,01		14-07-2018	2,00		2,00	1	0,00	0				
006	1450026		TRONZADORA 14		5.993,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1451070		CIRCULAR 7-1/4		3.633,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1453077		7-1 4 60DIENTES		428,56		14-07-2018	1,00		1,00	1	0,00	0				
006	1453078		7-1 4" 20DIENTES		296,81		14-07-2018	1,00		1,00	1	0,00	0				
006	1453079		7-1 4" 24DIENTES		444,56		14-07-2018	1,00		1,00	1	0,00	0				
006	1453080		7-1 4" 40DIENTES		510,56		14-07-2018	1,00		1,00	1	0,00	0				
006	1453125		DISCO SIERRA 7 1/4"		466,56		19-07-2018	1,00		1,00	1	0,00	0				
006	1462030		GASOLINA 52CC 1650W		10.910,56		13-06-2018	2,00		2,00	1	0,00	0				
006	1464012		3.5HP CORTE 20"		10.208,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1603083		CINTA ELECTRICA ROJA		108,93		28-08-2018	61,00		61,00	2	0,00	0		40,00		
006	1603085		CINTA ELECTRICA 1/2"		68,51		11-09-2018	123,00		123,00	2	0,00	0		100,00		
006	1606010		EXTENSIÓN 1,80M		34,10		04-09-2018	25,00		20,00	2	5,00	1				
006	1606011		EXTENSIÓN 4,50M		109,05		11-09-2018	13,00		3,00	1	10,00	1				
006	1606013		EXTENSIÓN 2,70M		202,59		19-09-2018	10,00		10,00	1	0,00	0				
006	1606014		EXTENSIÓN 1,75M		193,75		28-08-2018	8,00		8,00	1	0,00	0				
006	1606015		EXTENSIÓN 3,60M		240,52		18-09-2018	10,00		10,00	1	0,00	0				
006	1606017		EXTENSIÓN 6,00M		356,25		25-08-2018	8,00		8,00	1	0,00	0				
006	1606018		EXTENSIÓN 6,00M		462,93		07-09-2018	10,00		10,00	1	0,00	0				
006	1606019		EXTENSIÓN 4M ST 2X18		100,06		13-08-2018	5,00		5,00	1	0,00	0				
006	1606020		EXTENSIÓN 12M ST2X18		819,65		21-09-2018	4,00		4,00	1	0,00	0				
006	1606024		EXTENSIÓN 2,70M		242,85		06-09-2018	9,00		9,00	1	0,00	0				
006	1606054		EXTENSIÓN 6M		88,14		13-09-2018	7,00		7,00	1	0,00	0				
006	1606107		SPT 2X18 4M		63,83		13-09-2018	3,00		3,00	1	0,00	0				
006	1606110		SPT 2X18 6.00M		550,90		10-09-2018	10,00		10,00	1	0,00	0				
006	1606114		EXTENSIÓN 4M		562,50		06-09-2018	7,00		7,00	1	0,00	0				
006	1606115		EXTENSIÓN 10M		1.272,32		24-08-2018	5,00		5,00	1	0,00	0				
006	1606176		EXTENSIÓN 4M		645,54		27-08-2018	5,00		5,00	1	0,00	0				
006	1612003		CONVERTIDOR EUROAMER		72,48		24-08-2018	5,00		5,00	1	0,00	0				
006	1612017		ADAPTADOR CON POLO		81,83		24-08-2018	7,00		7,00	1	0,00	0				
